name,diameter,e,a,q,i,per_y
Leontina,42.154,.06879868378620027,3.202754714721176,2.982409405858311,8.777798484370646,5.73183554097214
Naema,52.677,.06942694378351114,2.939411213509762,2.735336876432797,12.61028634165722,5.0396308083105
Lipperta,52.41,.1821111935792634,3.125726158092364,2.556496436640238,.2643393210517486,5.52630172830506
Agnia,24.931,.09561338091044885,2.781913651423008,2.515925481809522,2.481591601616095,4.64006079477681
Inna,33.027,.164855047128993,3.113374741762182,2.600119201978762,1.050073488339544,5.49357804673707
Ara,80.756,.1999209497623799,3.147417468163154,2.518182778629272,19.530638407766,5.58392695476649
Altona,80.90,.1249489305085094,3.001537000820689,2.626498162686425,15.54019928548232,5.20024439241977
Wladilena,26.541,.2745733736636174,2.362689549638738,1.713957909074657,23.01979084408506,3.6317687956873
Nansenia,27.593,.1057345630776158,2.312099433754555,2.067630610334514,9.217332633581858,3.51574982065649
Backlunda,45.449,.1185665852263451,2.435637341551526,2.146852139113988,14.31898896787877,3.80125616827426
"El Djezair",22.519,.1021512346989014,2.811410456802208,2.52422140739446,8.873755903126609,4.7140543569856
Bouzareah,65.417,.1059370958080589,3.234422465715735,2.891777143081469,13.52215371209036,5.81705700259667
Ursina,34.561,.1060676703197416,2.796345299005779,2.499743467730675,13.29737807164861,4.67621423195366
Aida,66.85,.1027628220215087,3.137910078337571,2.815449583437868,8.050407309425383,5.558645056411
Franzia,27.033,.08173144886393409,2.802926542298828,2.573839294937568,13.88588104067909,4.69273225854041
Benkoela,38.724,.02948130830110719,3.201479365236369,3.107095565050203,25.41396937831042,5.72841222274457
Fatme,78.061,.05292088197791749,3.129381062361683,2.96377145649651,8.646985706548671,5.53599739869034
Kovacia,24.113,.128427497793472,3.067018618200401,2.673129091378932,5.97506691275479,5.37134219137918
Lova,50.692,.1493373923461691,2.70318481476045,2.299498243494362,5.837473375826871,4.44448874678893
Mellena,21.193,.2201841944226381,2.688833022761345,2.096794489707651,7.837760782141221,4.40914064255938
Holda,34.431,.07913528050339894,2.731188844700881,2.515055449367723,7.375300452090648,4.51373228709852
Mechthild,34.471,.1487607549614482,2.627428057935788,2.236569876430368,5.273863957075803,4.25896873873033
Rotraut,58.287,.08029096262997741,3.155437816192883,2.902084676411723,11.14811784764917,5.60528425319797
Scott,22.420,.1133853975388931,3.009500605369583,2.668267182836213,11.36009793662249,5.22095385553997
Walkure,38.41,.1606818791899676,2.486606364114289,2.087053780722673,4.255008169843612,3.92119791921726
Herba,31.141,.3232150362802796,2.99790336164857,2.028935917848556,15.1465545181965,5.1908041830608
Swetlana,42.440,.2663420755475098,3.1252697393923,2.29287891035673,6.124931175726958,5.52509134618376
Priamus,101.093,.12193570353581,5.181761674377482,4.549919919057367,8.914694365396878,11.7957172592235
Ulrike,30.537,.1871528533906878,3.092094529180719,2.513400215090812,3.304530776704372,5.43735070815659
Washingtonia,86.793,.2698099467947447,3.169348599541036,2.31422682252487,16.86612841097326,5.64239151385055
Parysatis,44.749,.192694217815817,2.711859396331478,2.18929977112891,13.83589329476153,4.46589959909481
Waltraut,28.376,.05992279741686891,3.020808657685289,2.83979335245569,10.87246274720509,5.25040770085051
Gunhild,55.747,.03000032251008549,2.86022956941447,2.774421759879153,13.55590956569282,4.8373726013189
Seeligeria,74.481,.1038566646392929,3.225878350095883,2.89084938412282,21.33161830749252,5.79402254878013
Leopoldina,85.992,.149653873493481,3.049131089922834,2.592816811526482,17.02044961521597,5.32442049600075
Erda,28.309,.1100747427355368,3.117708625984197,2.774527651054623,12.7363344632469,5.50505280488676
Helio,109.568,.1454381676765671,3.203135669442334,2.737277486859186,26.07556522693079,5.73285823936859
Lysistrata,24.337,.09477077189062044,2.541161207341682,2.30033339822341,14.32909057489582,4.05094668675099
